,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,type,num_changes_in_pred,comp_mode
0,11336940,0,,,False,,,,,,,,,,,,
1,11336940,1,,,False,,,,,,,,,,,,
2,11336940,2,latanoprost product,latanoprost,,1,,9,1,,,,,,CHEMICAL,,value_change
3,11336940,2,oht - ocular hypertension,ocular hypertension,False,2,0.0036569321528077126,40,2,,,,,,DISEASE,0.0,value_change
4,11336940,3,,,False,,,,,,,,,,,,
5,11336940,4,,,False,,,,,,,,,,,,
6,11336940,5,latanoprost product,latanoprost,False,1,0.0006007212796248496,17,1,,,,,,CHEMICAL,0,value_change
7,11336940,6,oht - ocular hypertension,ocular hypertension,,1,,14,1,,,,,,DISEASE,,value_change
8,11336940,6,latanoprost product,latanoprost,False,2,0.002639238489791751,27,2,,,,,,CHEMICAL,0.0,value_change
9,11336940,7,,,False,,,,,,,,,,,,
10,11336940,8,,,False,,,,,,,,,,,,
11,11336940,9,latanoprost product,latanoprost,False,1,1.0904797818511724e-05,20,1,,,,,,CHEMICAL,0,value_change
12,11336940,10,,,False,,,,,,,,,,,,
13,11336940,12,,,False,,,,,,,,,,,,
14,11336940,13,latanoprost product,latanoprost,False,1,0.00010602517431834713,6,1,,,,,,CHEMICAL,0,value_change
15,11336940,14,latanoprost product,latanoprost,False,1,2.3320550099015236e-05,18,1,,,,,,CHEMICAL,0,value_change
16,11336940,15,latanoprost product,latanoprost,False,1,2.8513410143204965e-05,26,1,,,,,,CHEMICAL,0,value_change
17,11336940,17,,,False,,,,,,,,,,,,
18,11336940,18,latanoprost product,latanoprost,,1,,2,1,,,,,,CHEMICAL,,value_change
19,11336940,18,oht - ocular hypertension,ocular hypertension,False,2,2.4022359866648912e-05,44,2,,,,,,DISEASE,0.0,value_change
20,11336940,19,,,False,,,,,,,,,,,,
21,11336940,20,,,False,,,,,,,,,,,,
22,12586182,0,,,False,,,,,,,,,,,,
23,12586182,1,,,False,,,,,,,,,,,,
24,12586182,2,latanoprost product,latanoprost,,1,,10,1,,,,,,CHEMICAL,,value_change
25,12586182,2,pilocarpine product,pilocarpine,,2,,22,2,,,,,,CHEMICAL,,value_change
26,12586182,2,unspecified glaucoma,glaucoma,False,3,0.0006441933801397681,31,3,,,,,,DISEASE,0.0,value_change
27,12586182,3,,,False,,,,,,,,,,,,
28,12586182,4,latanoprost product,latanoprost,,1,,8,1,,,,,,CHEMICAL,,value_change
29,12586182,4,pilocarpine product,pilocarpine,,2,,23,2,,,,,,CHEMICAL,,value_change
30,12586182,4,unspecified glaucoma,glaucoma,False,3,0.0006579697947017848,34,3,,,,,,DISEASE,0.0,value_change
31,12586182,5,,,False,,,,,,,,,,,,
32,12586182,6,unspecified glaucoma,glaucoma,,1,,12,1,,,,,,DISEASE,,value_change
33,12586182,6,oht - ocular hypertension,ocular hypertension,False,2,0.0008476199000142515,18,2,,,,,,DISEASE,0.0,value_change
34,12586182,7,latanoprost product,latanoprost,,1,,12,1,,,,,,CHEMICAL,,value_change
35,12586182,7,pilocarpine product,pilocarpine,False,2,0.00023144623264670372,37,2,,,,,,CHEMICAL,0.0,value_change
36,12586182,8,,,False,,,,,,,,,,,,
37,12586182,9,,,False,,,,,,,,,,,,
38,12586182,10,latanoprost product,latanoprost,,1,,39,1,,,,,,CHEMICAL,,value_change
39,12586182,10,pilocarpine product,pilocarpine,False,2,2.628880611155182e-05,58,2,,,,,,CHEMICAL,0.0,value_change
40,12586182,11,,,False,,,,,,,,,,,,
41,12586182,12,latanoprost product,latanoprost,,1,,5,1,,,,,,CHEMICAL,,value_change
42,12586182,12,pilocarpine product,pilocarpine,False,2,0.00018027851183433086,46,2,,,,,,CHEMICAL,0.0,value_change
43,12586182,13,,,False,,,,,,,,,,,,
44,12586182,14,vision blurry,blurred vision,,1,,8,1,,,,,,DISEASE,,value_change
45,12586182,14,"headache , cephalalgia",headache,,2,,13,2,,,,,,DISEASE,,value_change
46,12586182,14,pilocarpine product,pilocarpine,,3,,31,3,,,,,,CHEMICAL,,value_change
47,12586182,14,latanoprost product,latanoprost,False,4,4.866734889219515e-05,40,4,,,,,,CHEMICAL,0.0,value_change
48,12586182,15,latanoprost product,latanoprost,,1,,5,1,,,,,,CHEMICAL,,value_change
49,12586182,15,pilocarpine product,pilocarpine,,2,,25,2,,,,,,CHEMICAL,,value_change
50,12586182,15,unspecified glaucoma,glaucoma,,3,,43,3,,,,,,DISEASE,,value_change
