,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,type,num_changes_in_pred,comp_mode,num_entites_changed
0,11336940,0,,,False,,,,,,,,,,,,,
1,11336940,1,,,False,,,,,,,,,,,,,
2,11336940,2,latanoprost product,latanoprost,,1,,9,1,,,,,,CHEMICAL,,,
3,11336940,2,oht - ocular hypertension,ocular hypertension,False,2,22.437381744384766,40,2,[],,,,,DISEASE,,,0.0
4,11336940,3,,,False,,,,,,,,,,,,,
5,11336940,4,,,False,,,,,,,,,,,,,
6,11336940,5,latanoprost product,latanoprost,False,1,11.595463752746582,17,1,[],,,,,CHEMICAL,,,0.0
7,11336940,6,oht - ocular hypertension,ocular hypertension,,1,,14,1,,,,,,DISEASE,,,
8,11336940,6,latanoprost product,latanoprost,False,2,11.609075546264648,27,2,[],,,,,CHEMICAL,,,0.0
9,11336940,7,,,False,,,,,,,,,,,,,
10,11336940,8,,,False,,,,,,,,,,,,,
11,11336940,9,latanoprost product,latanoprost,False,1,2.0531604290008545,20,1,[],,,,,CHEMICAL,,,0.0
12,11336940,10,,,False,,,,,,,,,,,,,
13,11336940,12,,,False,,,,,,,,,,,,,
14,11336940,13,latanoprost product,latanoprost,False,1,15.770944595336914,6,1,[],,,,,CHEMICAL,,,0.0
15,11336940,14,latanoprost product,latanoprost,False,1,8.247079849243164,18,1,[],,,,,CHEMICAL,,,0.0
16,11336940,15,latanoprost product,latanoprost,False,1,5.660939693450928,26,1,[],,,,,CHEMICAL,,,0.0
17,11336940,17,,,False,,,,,,,,,,,,,
18,11336940,18,latanoprost product,latanoprost,,1,,2,1,,,,,,CHEMICAL,,,
19,11336940,18,oht - ocular hypertension,ocular hypertension,False,2,5.205039978027344,44,2,[],,,,,DISEASE,,,0.0
20,11336940,19,,,False,,,,,,,,,,,,,
21,11336940,20,,,False,,,,,,,,,,,,,
22,12586182,0,,,False,,,,,,,,,,,,,
23,12586182,1,,,False,,,,,,,,,,,,,
24,12586182,2,latanoprost product,latanoprost,,1,,10,1,,,,,,CHEMICAL,,,
25,12586182,2,pilocarpine product,pilocarpine,,2,,22,2,,,,,,CHEMICAL,,,
26,12586182,2,unspecified glaucoma,glaucoma,True,3,24.66486930847168,31,3,[2],,,,,DISEASE,,,2.0
27,12586182,3,,,False,,,,,,,,,,,,,
28,12586182,4,latanoprost product,latanoprost,,1,,8,1,,,,,,CHEMICAL,,,
29,12586182,4,pilocarpine product,pilocarpine,,2,,23,2,,,,,,CHEMICAL,,,
30,12586182,4,unspecified glaucoma,glaucoma,True,3,20.465473175048828,34,3,[4],,,,,DISEASE,,,1.0
31,12586182,5,,,False,,,,,,,,,,,,,
32,12586182,6,unspecified glaucoma,glaucoma,,1,,12,1,,,,,,DISEASE,,,
33,12586182,6,oht - ocular hypertension,ocular hypertension,False,2,18.720523834228516,18,2,[],,,,,DISEASE,,,0.0
34,12586182,7,latanoprost product,latanoprost,,1,,12,1,,,,,,CHEMICAL,,,
35,12586182,7,pilocarpine product,pilocarpine,False,2,13.072965621948242,37,2,[],,,,,CHEMICAL,,,0.0
36,12586182,8,,,False,,,,,,,,,,,,,
37,12586182,9,,,False,,,,,,,,,,,,,
38,12586182,10,latanoprost product,latanoprost,,1,,39,1,,,,,,CHEMICAL,,,
39,12586182,10,pilocarpine product,pilocarpine,False,2,3.521388530731201,58,2,[],,,,,CHEMICAL,,,0.0
40,12586182,11,,,False,,,,,,,,,,,,,
41,12586182,12,latanoprost product,latanoprost,,1,,5,1,,,,,,CHEMICAL,,,
42,12586182,12,pilocarpine product,pilocarpine,False,2,16.983741760253906,46,2,[],,,,,CHEMICAL,,,0.0
43,12586182,13,,,False,,,,,,,,,,,,,
44,12586182,14,blurry vision,blurred vision,,1,,8,1,,,,,,DISEASE,,,
45,12586182,14,"headache , cephalalgia",headache,,2,,13,2,,,,,,DISEASE,,,
46,12586182,14,pilocarpine product,pilocarpine,,3,,31,3,,,,,,CHEMICAL,,,
47,12586182,14,latanoprost product,latanoprost,False,4,14.365349769592285,40,4,[],,,,,CHEMICAL,,,0.0
48,12586182,15,latanoprost product,latanoprost,,1,,5,1,,,,,,CHEMICAL,,,
49,12586182,15,pilocarpine product,pilocarpine,,2,,25,2,,,,,,CHEMICAL,,,
50,12586182,15,unspecified glaucoma,glaucoma,,3,,43,3,,,,,,DISEASE,,,
51,12586182,15,oht - ocular hypertension,ocular hypertension,False,4,8.01664924621582,49,4,[],,,,,DISEASE,,,0.0
52,12586182,16,,,False,,,,,,,,,,,,,
